original_values,new_values
0.4775,1.9472
0.4122,1.5940
0.2997,1.0689
0.5610,2.4699
0.5534,2.4183
0.1217,0.3894
0.2359,0.8072
0.2560,0.8871
0.2156,0.7286
0.7777,4.5111
0.0722,0.2248
0.3566,1.3229
0.9571,9.4449
0.1583,0.5170
0.9305,8.0000
0.7060,3.6727
0.8358,5.4201
0.3386,1.2402
0.6848,3.4639
0.5908,2.6807
0.1306,0.4199
0.8786,6.3265
0.2103,0.7083
0.6713,3.3375
0.8016,4.8519
0.2870,1.0148
0.3803,1.4357
0.3847,1.4569
0.7251,3.8738
0.0568,0.1756
0.7488,4.1444
0.5158,2.1756
0.7025,3.6369
0.2980,1.0617
0.8022,4.8612
0.2736,0.9590
0.5021,2.0918
0.6413,3.0760
0.4568,1.8309
0.9198,7.5699
0.5006,2.0828
0.4725,1.9189
0.1718,0.5656
0.1268,0.4069
0.5166,2.1809
0.8776,6.3026
0.5928,2.6955
0.2777,0.9758
0.5516,2.4062
0.8844,6.4741
0.6805,3.4231
0.1944,0.6483
0.1014,0.3207
0.7062,3.6741
0.9916,14.3385
0.6713,3.3377
0.5386,2.3205
0.1765,0.5826
0.8419,5.5345
0.0230,0.0699
0.6794,3.4126
0.7138,3.7533
0.9725,10.7844
0.4278,1.6747
0.6407,3.0710
0.7146,3.7618
0.4787,1.9544
0.8436,5.5669
0.8217,5.1729
0.1862,0.6180
0.7804,4.5475
0.8398,5.4943
0.3969,1.5171
0.1009,0.3191
0.8595,5.8886
0.0597,0.1845
0.6282,2.9680
0.1989,0.6654
0.5927,2.6944
0.5182,2.1905
0.3926,1.4955
0.5469,2.3751
0.7612,4.2968
0.4507,1.7973
0.5747,2.5648
0.5686,2.5225
0.9238,7.7219
0.8092,4.9699
0.7482,4.1377
0.9777,11.4128
0.3880,1.4733
0.8169,5.0932
0.2378,0.8147
0.7214,3.8344
0.0011,0.0033
0.0786,0.2457
0.0953,0.3004
0.0411,0.1260
0.0617,0.1911
0.2180,0.7376
